"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,442.736968240992,-2588.3343618433723,39373.69986155188,-891547.8287462393,-81064.07232648374,-1274204.071744192
1000.0,156.0999262646879,-1624.5102220393123,26429.156810066776,-894910.394151203,-81684.56397814468,-1283961.7070355806
1500.0,175.43048991268003,-853.6748446011595,14795.463433159981,-891337.4593121108,-81672.16472018512,-1283989.1418867288
2000.0,199.89718795944435,-81.24671003207246,3263.9736808932175,-887725.4963731908,-81661.00469625603,-1284013.9109414124
2500.0,208.75448575714196,682.5493446640745,-8076.663898194233,-884023.8003941788,-81644.45799978168,-1283922.1242597953
3000.0,205.27763681953775,1457.5388645680655,-19580.335745152068,-880109.4960523857,-81619.18831247606,-1283640.4647108354
3500.0,186.822374926609,2244.959169889116,-31255.404225302496,-875947.5598010208,-81583.78973664463,-1283121.605122812
4000.0,150.01736161401195,3040.11902181523,-43017.11788337551,-871547.8724441972,-81538.16239327792,-1282346.396770816
4500.0,96.71903875988131,3837.858221532606,-54784.85645909928,-866955.0704795285,-81482.46091540606,-1281346.6648831707
5000.0,27.98598979050184,4630.146982173775,-66454.95678443454,-862223.6451592464,-81417.41286234514,-1280141.9771201268
5500.0,-53.44614236565244,5407.321766791951,-77905.3896214613,-857430.3568449881,-81344.37386130392,-1278764.349210011
6000.0,-142.9308579481165,6147.5745525112425,-88853.62054312663,-852726.5727330192,-81264.80082136387,-1277256.8089931337
6500.0,-229.89589810393855,6813.1888613974215,-98844.68752416529,-848363.9573540929,-81181.33421677454,-1275722.5373692866
7000.0,-290.91384782464723,7286.737970502741,-106327.60863139994,-845041.9582108381,-81105.32295291209,-1274411.1841641054
7500.0,-270.5601617051658,7335.883446168259,-108368.03398233058,-844053.1447377937,-81057.90280403357,-1273701.824167073
8000.0,-111.5189258373738,6892.6050081419935,-102932.22017158094,-845256.4899481152,-81049.03083302145,-1273656.6344359233
