"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,0.5739854413740102,-0.39899872742068915,1.3373071245360004,1002.6653234350979,-4809.98727591316,-13711.503636452071
1000.0,0.577805699603188,-0.3869380329430959,1.3525282485073347,1002.6511091759792,-4809.970877380987,-13711.658834137472
1500.0,0.6315747934873169,0.5978025014645459,-0.03247974053259106,1004.2395526364877,-4810.137408795998,-13712.0530608644
2000.0,0.6599849516255152,1.587791063498354,-1.4204566917171217,1005.850152090546,-4810.326105664357,-13712.432442269657
2500.0,0.6702120269580706,2.5683020825037626,-2.787648474484525,1007.4673080810107,-4810.512607599562,-13712.776681216112
3000.0,0.6590406694781521,3.5622160032727326,-4.1886267942821425,1009.0928735201632,-4810.677908825227,-13713.026410519997
3500.0,0.6252172490010521,4.557499239756525,-5.612367211866377,1010.7290401049484,-4810.826907136909,-13713.20964813151
4000.0,0.567450879492792,5.550045779766707,-7.042807505524884,1012.3642022451909,-4810.965529091663,-13713.324317964032
4500.0,0.4831099511840202,6.538146665228036,-8.488805226272518,1013.9968758992455,-4811.0985510121,-13713.391979609363
5000.0,0.37877328629875257,7.523242062510518,-9.952678772551877,1015.628270217914,-4811.216479828974,-13713.398745142498
5500.0,0.25025768526575226,8.50401975386773,-11.425268113092216,1017.2538064625438,-4811.325230765472,-13713.35460297446
6000.0,0.0994293193632821,9.474483334083017,-12.893570895766599,1018.8670651735118,-4811.427509865728,-13713.267239495992
6500.0,-0.0751554837921745,10.432326493395683,-14.370714300304714,1020.4610819712663,-4811.525441902414,-13713.138957487963
7000.0,-0.2709389499515979,11.376527503389871,-15.87045081549841,1022.0303371029963,-4811.607861200827,-13712.945680584873
7500.0,-0.483452205007724,12.277975911655677,-17.344539348068878,1023.5523370910367,-4811.709601993702,-13712.741967525293
8000.0,-0.7060294591099471,13.16098007992829,-18.82196517668823,1025.0300795724422,-4811.771272588221,-13712.445728168876
8500.0,-0.7133394279581345,13.192851984922976,-18.85619571358009,1025.0836681482594,-4811.778652277234,-13712.448769192933
9000.0,-0.7137074811300392,13.199336768369633,-18.86345534424474,1025.091291641316,-4811.779129725453,-13712.446433952047
9500.0,-0.9436936237780741,13.983632456610705,-20.22646788794294,1026.430814980092,-4811.817210330158,-13712.097104379322
10000.0,-0.9465136816677202,13.999768751035091,-20.260209992524953,1026.4705784344521,-4811.818067561758,-13712.091234531594
10500.0,-0.9381291711763939,13.982661236076792,-20.26082398915869,1026.4597577253335,-4811.810531288865,-13712.085252766688
11000.0,-0.9250589359587584,13.934537281857603,-20.239328648606318,1026.415959878549,-4811.798617002022,-13712.079967891272
