"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,0.7043878935705864,-0.06970365142869296,1.4398746024332518,1266.7791607115155,-2702.8968868872203,-10726.347514345844
1000.0,0.6903010754222169,-0.12781219823968662,1.4872677837640438,1266.735932893133,-2703.3553680627156,-10727.385746198412
1500.0,0.7050511730763559,0.7617375551436033,0.05324938495597948,1268.2243481720518,-2703.7050531557757,-10728.122687032774
2000.0,0.7037723996118496,1.6961960484335281,-1.3648134087544843,1269.7740024245586,-2703.9848339936984,-10728.65599099822
2500.0,0.6871659685550645,2.6237373313331647,-2.7639651570380868,1271.3328977488757,-2704.2661754461665,-10729.160721906657
3000.0,0.6704548000595041,3.525473964531602,-4.195169736181484,1272.8722962594302,-2704.6409552606674,-10729.793070424112
3500.0,0.6514899628691853,4.458973861376464,-5.629711833871726,1274.432290649518,-2704.9546676240298,-10730.251942537725
4000.0,0.5962639096320964,5.454794370317794,-7.072997133169175,1276.065812785419,-2705.020066491378,-10730.266191136803
4500.0,0.5170606648520379,6.458101138418604,-8.531245144138506,1277.709764503434,-2705.01563901524,-10730.122600126835
5000.0,0.41155476184857986,7.4531660423971084,-9.989000857077654,1279.3475955299032,-2705.045691856911,-10729.985524629179
5500.0,0.2812683421355824,8.439445549614405,-11.453885502488273,1280.9774243174359,-2705.046571385692,-10729.761941713059
6000.0,0.1284493435188293,9.416665725082764,-12.919103246840208,1282.5958063397875,-2705.0367115689214,-10729.484432830764
6500.0,-0.044884881826734294,10.381920228265566,-14.397086078523458,1284.1957774276507,-2705.025201301854,-10729.1682998451
7000.0,-0.23859193763136227,11.332359977908766,-15.883667424336004,1285.7707483496883,-2705.011372232047,-10728.808127289787
7500.0,-0.4516533152845163,12.25739212874375,-17.35905390779441,1287.3065928021083,-2704.993444782615,-10728.404891407188
8000.0,-0.6697827158281008,13.133734147232941,-18.82825273337916,1288.7798379374747,-2704.9724910782493,-10727.958918580185
8500.0,-0.6756844977130286,13.168146627037746,-18.868912498958213,1288.8381730400567,-2704.9508028873843,-10727.912917101043
9000.0,-0.675690102451291,13.17003661230572,-18.874026724354007,1288.8424296664928,-2704.9459262255414,-10727.905908519971
9500.0,-0.8968699680560118,13.937219656151733,-20.225099718695702,1290.163987106126,-2704.8952192326237,-10727.419535986879
10000.0,-0.8860832500559322,13.907468921658642,-20.2340353954435,1290.1619704275713,-2704.8729371372,-10727.385849092818
10500.0,-0.8761669760428198,13.863924845508302,-20.206688632053833,1290.1206280082945,-2704.86829663273,-10727.385967849588
11000.0,-0.8719457807193877,13.846491029517821,-20.190685761689057,1290.1029586930101,-2704.869830523356,-10727.390751704257
