"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,645.1774205709042,-2379.679666502865,32968.01910107675,-957887.0392413735,-85200.98380651021,-1420519.0481978585
1000.0,163.46490460573165,-1166.7054589104075,16155.956153359888,-970187.0486703444,-86465.14721934892,-1444887.6285562667
1500.0,198.44941654820562,-107.45535191697358,1826.770332713004,-964432.1952742813,-86376.88887678042,-1443957.55059766
2000.0,223.4812825641823,700.1303289516148,-9133.380608348649,-959838.3625086938,-86314.84376850804,-1443254.7952855327
2500.0,230.4484312293678,1473.0937645708577,-19588.525012247053,-955332.8111441445,-86250.71979623639,-1442437.4092927203
3000.0,220.89092814899976,2229.7122043448903,-29788.113316136434,-950806.4464829977,-86181.91224823502,-1441480.597135512
3500.0,194.09836141140605,2973.9801494411286,-39784.97054559174,-946226.2734846075,-86107.55970177233,-1440368.9687880066
4000.0,150.32592813035288,3712.306920087473,-49669.53818811154,-941539.0418690704,-86026.15039493667,-1439074.6519012991
4500.0,89.52614914638643,4450.051745505329,-59511.010109697985,-936692.9124363717,-85936.2324692201,-1437565.5997218392
5000.0,12.209655879841536,5185.093594176808,-69287.32637127317,-931712.9164203607,-85838.57563118283,-1435864.099103706
5500.0,-79.71068662647053,5913.6025511381895,-78954.7896938017,-926635.2540099559,-85733.96915113229,-1433996.8009117285
6000.0,-186.83751650505545,6626.615759723965,-88400.64026288598,-921508.9023861324,-85623.70017888356,-1431972.1841318577
6500.0,-304.24259591550197,7309.777777403107,-97454.25381938506,-916460.9640464413,-85510.70564419347,-1429866.866122156
7000.0,-421.0417444408786,7930.191210238708,-105722.0333668968,-911774.6001186625,-85400.45474543738,-1427829.6375672522
